Bob Rule,206
Craig Spitzer,213
Al Tucker,203
Bill Turner,201
Jimmy Walker,190
Rick Weitzman,188
Roland West,193
John Wetzel,196
Ken Wilburn,198
Art Williams,185
Tom Workman,201
Zaid Abdul-Aziz,206
Rick Adelman,185
Bob Allen,206
Harry Barnes,190
Ed Biedenbach,185
Tom Boerwinkle,213
Jay Carty,203
Don Chaney,196
Dick Cunningham,208
Fred Foster,196
Pat Frink,193
Gary Gregor,201
Al Hairston,185
Shaler Halimon,196
Skip Harlicka,185
Art Harris,193
Elvin Hayes*,206
Bill Hewitt,201
Bill Hosket,203
Rich Johnson,201
Bob Kauffman,203
Joe Kennedy,198
Rod Knowles,206
Stu Lantz,190
Don May,193
Otto Moore,211
Dave Newmark,213
Rich Niemann,213
Barry Orms,190
Charlie Paulk,203
Loy Petersen,196
Bob Quick,196
Craig Raymond,211
Mike Riordan,193
Dale Schlueter,208
Doug Sims,201
Greg Smith,196
John Trapp,201
Wes Unseld*,201
Dwight Waller,198
Cliff Williams,190
Ron Williams,190
Sam Williams,190
Kareem Abdul-Jabbar*,218
Lucius Allen,188
Wally Anderzunas,201
John Arthurs,193
Johnny Baum,196
Butch Beard,190
Fred Carter,190
Bob Dandridge,198
Mike Davis,190
Dick Garrett,190
Herm Gilliam,190
Bob Greacen,201
Lamar Green,201
Connie Hawkins*,203
Brian Heaney,188
Steve Kuberski,203
Mike Lynn,201
Willie McCarter,190
Steve Mix,201
Grady O'Malley,196
Bud Ogden,198
Bob Portman,196
Luther Rackley,208
George Reynolds,193
Rick Roberson,206
Dave Scholz,203
Bingo Smith,196
Norm Van,196
Neal Walk,208
John Warren,190
Jo Jo,190
Bernie Williams,190
Lee Winfield,188
Don Adams,198
Tiny Archibald*,185
Bob Arnzen,196
Dennis Awtrey,208
Moe Barr,193
Tom Black,208
Bob Christian,208
Jimmy Collins,188
Joe Cooke,190
Dave Cowens*,206
Pete Cross,206
Terry Driscoll,201
Claude English,193
Greg Fillmore,216
Levi Fontaine,193
Jake Ford,190
Gary Freeman,206
Walt Gilmore,198
Spencer Haywood*,203
Gar Heard,198
Al Henry,206
A.W. Holt,206
Greg Howard,206
John Hummer,206
Greg Hyder,198
George Johnson,211
John Johnson,201
Earnie Killum,190
Ron Knight,201
Sam Lacey,208
Bob Lanier*,211
Pete Maravich*,196
Harvey Marlatt,190
Eddie Mast,206
Jim McMillian,196
Larry Mikan,201
Rex Morgan,196
Calvin Murphy*,175
Ralph Ogden,196
Curtis Perry,201
Geoff Petrie,193
Mike Price,190
Bob Riley,206
Paul Ruffner,208
Mike Silliman,198
Garfield Smith,206
Dave Sorenson,203
Dennis Stewart,198
Bill Stricker,206
Gary Suiter,206
Fred Taylor,196
Joe Thomas,198
Rudy Tomjanovich,203
John Vallely,190
Cornell Warner,206
Bobby Washington,180
Jeff Webb,193
Herb White,188
Milt Williams,188
Willie Williams,201
Marv Winkler,185
Gary Zeller,190
Bill Zopf,185
Odis Allison,198
Vic Bartolome,213
Fred Brown,190
Austin Carr,193
Sid Catlett,198
Phil Chenier,190
Jim Cleamons,190
Charlie Davis,188
Jackie Dinkins,196
Ken Durrett,201
Dick Gibbs,196
Clarence Glover,203
Jeff Halliburton,196
Fred Hilton,190
Jake Jones,190
Mo Layton,185
Stan Love,206
Charlie Lowery,190
Jim Marsh,201
Jim McDaniels,211
Gil McGregor,203
Kenny McIntosh,201
Cliff Meely,203
Dean Meminger,183
John Mengelt,188
Barry Nelson,208
Mike Newlin,193
Willie Norwood,201
Steve Patterson,206
Tom Payne,218
Howard Porter,203
Clifford Ray,206
Jackie Ridgle,193
Rich Rinaldi,190
Curtis Rowe,201
Charlie Scott,196
Elmore Smith,213
Randy Smith,190
William Smith,213
Larry Steele,196
George Trapp,203
Sidney Wicks,203
Nate Williams,196
Isaiah Wilson,188
Dave Wohl,188
Barry Yates,201
Charlie Yelverton,188
Henry Bibby,185
Freddie Boyd,188
Steve Bracey,185
John Brisker,196
Roger Brown,196
Corky Calhoun,201
Bob Davis,201
Dwight Davis,203
Mickey Davis,190
Charles Dudley,188
Scott English,198
Chris Ford,196
Harold Fox,188
Rowland Garrett,198
John Gianelli,208
Travis Grant,201
Luther Green,201
Charles Johnson,183
Ollie Johnson,198
Manny Leaks,203
Russ Lee,196
LaRue Martin,211
Bob McAdoo*,206
Paul McCracken,193
Eric McWilliams,203
Mark Minor,198
Bob Nash,203
Lloyd Neal,201
Tom Patterson,198
Kevin Porter,183
Jim Price,190
Mike Ratliff,208
Tom Riker,208
Ron Riley,203
Frank Russell,190
Frank Schade,185
Sam Sibert,201
Bud Stallworth,196
Paul Stovall,193
Chuck Terry,198
Justus Thigpen,185
John Tschogl,198
Paul Westphal,193
Harthorne Wingo,198
Joby Wright,203
Mike Bantom,206
Ron Behagen,206
Dennis Bell,196
Jim Brewer,206
Allan Bristow,201
John Brown,201
Larry Cannon,193
Bill Chamberlain,198
Ken Charles,190
E.C. Coleman,190
Doug Collins,198
Mike D'Antoni,190
Mel Davis,198
Derrek Dickey,201
Ernie DiGregorio,183
Steve Downing,203
Rod Freeman,201
Bernie Fryer,190
Jim Garvin,201
Phil Hankinson,203
Nate Hawthorne,193
Tom Ingelsby,190
Dwight Jones,208
Ben Kelso,190
Tom Kozelko,203
Kevin Kunnert,213
Mike Macaluso,196
Ted Manakas,188
Vester Marshall,201
Allie McGuire,188
Larry McNeill,206
Gary Melchionni,188
Louie Nelson,190
Jim Owens,196
Ed Ratleff,198
Joe Reaves,196
Mark Sibley,188
Bob Verga,185
Kermit Washington,203
Slick Watts,185
Nick Weatherspoon,201
Luke Witte,213
Dan Anderson,208
Jim Ard,203
Gus Bailey,196
Leon Benbow,193
Ken Boyd,196
Gary Brokaw,193
Tom Burleson,218
Harvey Catchings,206
Jim Chones,211
Ben Clyde,201
Jesse Dark,196
Rod Derline,183
John Drew,198
Dennis DuVal,190
Al Eberhard,198
Leonard Gray,203
Bernie Harris,208
Steve Hawes,206
Tom Henderson,190
Greg Jackson,183
Wardell Jackson,201
Aaron James,203
Mickey Johnson,208
Jimmy Jones,193
Frank Kendrick,198
Len Kosmalski,213
Bill Ligon,193
Phil Lumpkin,183
Glenn McDonald,198
Eric Money,183
Connie Norman,190
Kevin Restani,206
Truck Robinson,201
Campy Russell,196
Fred Saunders,201
Tal Skinner,196
Don Smith,188
Phil Smith,193
Mike Sojourner,206
Kevin Stacom,190
George Thompson,188
Dean Tolson,203
Foots Walker,183
Bill Walton*,211
Perry Warbington,188
Stan Washington,193
Scott Wedman,201
Owen Wells,201
Jamaal Wilkes*,198
Earl Williams,201
Bobby Wilson,193
Brian Winters,193
Alvan Adams,206
Jerome Anderson,196
Jerry Baskerville,201
Bob Bigelow,201
Tom Boswell,206
Junior Bridgeman,196
Joe Bryant,206
Al Carlson,211
Jim Creighton,203
Darryl Dawkins,211
Henry Dickerson,193
Eric Fernsten,208
Larry Fogle,196
Don Ford,206
World B.,206
Donnie Freeman,190
Kevin Grevey,196
Bob Gross,198
Lindsay Hairston,201
Glenn Hansen,193
Robert Hawkins,193
Wilbur Holland,183
Lionel Hollins,190
Steve Jones,196
Rich Kelley,213
Tom Kropp,190
C.J. Kupec,190
John Lambert,208
John Laskowski,198
Greg Lee,190
Clyde Mayes,203
Ken Mayfield,188
Jim McElroy,190
George McGinnis,203
Tom McMillen,211
Joe Meriweather,208
Dave Meyers,203
Frank Oleynick,188
Cliff Pondexter,206
Bill Robinzine,201
John Roche,190
Bruce Seals,203
Ed Searcy,198
Gene Short,198
John Shumate,206
Ricky Sobers,190
Terry Thomas,203
Rudy White,188
Gus Williams,188
Bill Willoughby,203
Tom Abernethy,201
Bird Averitt,185
Tom Barker,211
Marvin Barnes,203
Norton Barnhill,193
Mike Barr,190
Tim Bassett,203
Byron Beck,206
Mel Bennett,201
Ron Boone,188
Quinn Buckner,190
Ticky Burden,188
Don Buse,193
Mack Calvin,183
M.L. Carr,183
Cornelius Cash,203
Norm Cook,203
Louie Dampier*,183
Mel Daniels*,206
Adrian Dantley*,196
Johnny Davis,188
Ron Davis,198
Randy Denton,208
Coby Dietrick,208
Leon Douglas,208
Mike Dunleavy,190
Jim Eakins,211
Len Elmore,206
Darrell Elston,193
Alex English*,201
Julius Erving*,201
Butch Feher,193
Mike Flynn,188
Terry Furlow,193
Mike Gale,193
Gus Gerard,203
George Gervin*,201
Artis Gilmore*,218
Mike Green,208
Steve Green,201
Paul Griffin,206
Rudy Hackett,206
Phil Hicks,201
Armond Hill,193
Darnell Hillman,206
Mo Howard,188
Kim Hughes,211
Dan Issel*,206
Dennis Johnson*,193
Bobby Jones,206
Caldwell Jones,211
Rich Jones,198
Robin Jones,206
Wil Jones,190
George Karl,190
Goo Kennedy,196
Larry Kenon,206
Billy Knight,198
Mitch Kupchak,206
Bo Lamar,185
Ron Lee,193
Scott Lloyd,208
John Lucas,190
Maurice Lucas,206
Moses Malone*,208
Scott May,201
Andre McCarter,190
Ted McClain,185
Allen Murphy,196
Swen Nater,211
Johnny Neumann,198
Mark Olberding,203
Tom Owens,208
Joe Pace,208
Robert Parish*,213
Sonny Parker,198
Billy Paultz,211
Marv Roberts,203
Dave Robisch,208
Marshall Rogers,185
Dan Roundfield,203
Phil Sellers,193
Lonnie Shelton,203
James Silas,185
Ralph Simpson,196
Al Skinner,190
Willie Smith,213
Keith Starr,198
Earl Tatum,196
Brian Taylor,188
Fatty Taylor,183
Ira Terrell,203
Claude Terry,193
David Thompson*,193
Monte Towe,170
Dave Twardzik,185
Jan Van,185
Andy Walker,193
